"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 04 06:44:55 IST 2024","Thu Jul 04 06:44:55 IST 2024","31","Default Suite","RestAssured1","org.example.Oct15th.TNG003","org.example.Oct15th.TNG003","TN001","TN001",""
"passed","Sun Jun 23 15:01:24 IST 2024","Sun Jun 23 15:01:24 IST 2024","2","Default Suite","RestAssured1","org.example.Oct22nd.Testng.TNG002","org.example.Oct22nd.Testng.TNG002","server","server",""
"passed","Thu Jul 04 07:30:40 IST 2024","Thu Jul 04 07:30:46 IST 2024","5983","Default Suite","RestAssured1","org.example.Oct21st.CrudPut.PutRequestDemo","org.example.Oct21st.CrudPut.PutRequestDemo","testPutRequest","testPutRequest",""
"passed","Thu Jul 04 10:57:20 IST 2024","Thu Jul 04 10:57:27 IST 2024","7446","All Test Suite","Oct15th","org.example.PracticeOct21st.CrudPut","org.example.PracticeOct21st.CrudPut","Post","Post",""
"passed","Thu Jul 04 06:41:57 IST 2024","Thu Jul 04 06:42:01 IST 2024","3343","Default Suite","RestAssured1","org.example.Oct15th.RA001","org.example.Oct15th.RA001","positivegetRequest","positivegetRequest",""
"passed","Sat Jun 22 19:49:23 IST 2024","Sat Jun 22 19:49:27 IST 2024","3867","Default Suite","RestAssured1","org.example.Oct21st.pojo.RA_Pojo_GetRequest","org.example.Oct21st.pojo.RA_Pojo_GetRequest","postRequest","postRequest",""
"passed","Sat Jun 22 15:10:29 IST 2024","Sat Jun 22 15:10:29 IST 2024","7","All Test Suite","Oct15th","org.example.Oct15th.TNG001","org.example.Oct15th.TNG001","test1","test1",""
"passed","Sat Jun 22 15:06:35 IST 2024","Sat Jun 22 15:06:35 IST 2024","1","All Test Suite","Oct15th","org.example.Oct15th.TNG002","org.example.Oct15th.TNG002","test2","test2",""
"passed","Sun Jun 23 15:01:24 IST 2024","Sun Jun 23 15:01:24 IST 2024","2","Default Suite","RestAssured1","org.example.Oct22nd.Testng.TNG002","org.example.Oct22nd.Testng.TNG002","method","method",""
"passed","Sun Jun 23 15:01:24 IST 2024","Sun Jun 23 15:01:24 IST 2024","17","Default Suite","RestAssured1","org.example.Oct22nd.Testng.TNG002","org.example.Oct22nd.Testng.TNG002","method1","method1",""
